tag,English,Icon,Spatial
,,resting.png,
,,left.png,
4,thing,Lthing.png,LeftCong
,,resting.png,
,,middle.png,
6,expression,Lexpression.png,LeftIrre
,,resting.png,
,,right.png,
5,freedom,Lfreedom.png,LeftIncon
,,resting.png,
,,right.png,
8,hair,Rhair.png,RightCong
,,resting.png,
,,left.png,
1,answer,Ranswer.png,RightIncon
,,resting.png,
,,middle.png,
6,spider,Lspider.png,LeftIrre
,,resting.png,
,,left.png,
4,digit,Ldigit.png,LeftCong
,,resting.png,
,,middle.png,
2,earthquake,Rearthquake.png,RightIrre
,,resting.png,
,,middle.png,
2,society,Rsociety.png,RightIrre
,,resting.png,
,,xsp.png,
7,nail,Lnail.png,LeftNoG
,,resting.png,
,,xsp.png,
3,horse,Rhorse.png,RightNoG
,,resting.png,
,,left.png,
4,wall,Lwall.png,LeftCong
,,resting.png,
,,xsp.png,
3,inertia,Rinertia.png,RightNoG
,,resting.png,
,,xsp.png,
7,change,Lchange.png,LeftNoG
,,resting.png,
,,left.png,
1,house,Rhouse.png,RightIncon
,,resting.png,
,,middle.png,
2,dialect,Rdialect.png,RightIrre
,,resting.png,
,,xsp.png,
3,history,Rhistory.png,RightNoG
,,resting.png,
,,xsp.png,
3,gymnasium,Rgymnasium.png,RightNoG
,,resting.png,
,,right.png,
8,goose,Rgoose.png,RightCong
,,resting.png,
,,xsp.png,
7,vaccine,Lvaccine.png,LeftNoG
,,resting.png,
,,xsp.png,
7,position,Lposition.png,LeftNoG
,,resting.png,
,,right.png,
8,mermaid,Rmermaid.png,RightCong
,,resting.png,
,,left.png,
1,monkey,Rmonkey.png,RightIncon
,,resting.png,
,,xsp.png,
3,hurricane,Rhurricane.png,RightNoG
,,resting.png,
,,middle.png,
6,asthma,Lasthma.png,LeftIrre
,,resting.png,
,,left.png,
1,sculptor,Rsculptor.png,RightIncon
,,resting.png,
,,left.png,
4,project,Lproject.png,LeftCong
,,resting.png,
,,middle.png,
6,peach,Lpeach.png,LeftIrre
,,resting.png,
,,right.png,
8,heat,Rheat.png,RightCong
,,resting.png,
,,left.png,
4,problem,Lproblem.png,LeftCong
,,resting.png,
,,middle.png,
2,adverb,Radverb.png,RightIrre
,,resting.png,
,,left.png,
1,banana,Rbanana.png,RightIncon
,,resting.png,
,,middle.png,
2,example,Rexample.png,RightIrre
,,resting.png,
,,right.png,
5,diagram,Ldiagram.png,LeftIncon
,,resting.png,
,,xsp.png,
7,ancestor,Lancestor.png,LeftNoG
,,resting.png,
,,right.png,
5,intestine,Lintestine.png,LeftIncon
,,resting.png,
,,right.png,
8,marriage,Rmarriage.png,RightCong
,,resting.png,
,,right.png,
5,bean,Lbean.png,LeftIncon
,,resting.png,
,,right.png,
5,arm,Larm.png,LeftIncon
,,resting.png,
,,middle.png,
6,telephone,Ltelephone.png,LeftIrre
