tag,English,Icon,Spatial
,,resting.png,
,,left.png,
2,number,Rnumber.png,RightIncon
,,resting.png,
,,middle.png,
3,memory,Rmemory.png,RightIrre
,,resting.png,
,,xsp.png,
8,king,Lking.png,LeftNoG
,,resting.png,
,,left.png,
2,mind,Rmind.png,RightIncon
,,resting.png,
,,left.png,
2,magician,Rmagician.png,RightIncon
,,resting.png,
,,xsp.png,
4,city,Rcity.png,RightNoG
,,resting.png,
,,middle.png,
3,corner,Rcorner.png,RightIrre
,,resting.png,
,,right.png,
6,mushroom,Lmushroom.png,LeftIncon
,,resting.png,
,,middle.png,
3,money,Rmoney.png,RightIrre
,,resting.png,
,,xsp.png,
4,attention,Rattention.png,RightNoG
,,resting.png,
,,right.png,
6,law,Llaw.png,LeftIncon
,,resting.png,
,,left.png,
5,almond,Lalmond.png,LeftCong
,,resting.png,
,,right.png,
1,music,Rmusic.png,RightCong
,,resting.png,
,,middle.png,
7,method,Lmethod.png,LeftIrre
,,resting.png,
,,xsp.png,
4,voice,Rvoice.png,RightNoG
,,resting.png,
,,right.png,
6,school,Lschool.png,LeftIncon
,,resting.png,
,,middle.png,
7,image,Limage.png,LeftIrre
,,resting.png,
,,xsp.png,
8,peanut,Lpeanut.png,LeftNoG
,,resting.png,
,,left.png,
5,day,Lday.png,LeftCong
,,resting.png,
,,xsp.png,
8,coffee,Lcoffee.png,LeftNoG
,,resting.png,
,,middle.png,
7,olive,Lolive.png,LeftIrre
,,resting.png,
,,right.png,
1,hymn,Rhymn.png,RightCong
,,resting.png,
,,left.png,
5,opinion,Lopinion.png,LeftCong
,,resting.png,
,,middle.png,
7,country,Lcountry.png,LeftIrre
,,resting.png,
,,left.png,
5,clown,Lclown.png,LeftCong
,,resting.png,
,,xsp.png,
8,crucifix,Lcrucifix.png,LeftNoG
,,resting.png,
,,left.png,
2,ant,Rant.png,RightIncon
,,resting.png,
,,right.png,
1,garlic,Rgarlic.png,RightCong
,,resting.png,
,,right.png,
1,production,Rproduction.png,RightCong
,,resting.png,
,,right.png,
6,car,Lcar.png,LeftIncon
,,resting.png,
,,xsp.png,
4,calorie,Rcalorie.png,RightNoG
,,resting.png,
,,right.png,
6,service,Lservice.png,LeftIncon
,,resting.png,
,,middle.png,
7,girl,Lgirl.png,LeftIrre
,,resting.png,
,,xsp.png,
4,esteem,Resteem.png,RightNoG
,,resting.png,
,,middle.png,
3,burglar,Rburglar.png,RightIrre
,,resting.png,
,,middle.png,
3,abduction,Rabduction.png,RightIrre
,,resting.png,
,,left.png,
2,duck,Rduck.png,RightIncon
,,resting.png,
,,left.png,
5,family,Lfamily.png,LeftCong
,,resting.png,
,,xsp.png,
8,part,Lpart.png,LeftNoG
,,resting.png,
,,right.png,
1,boxer,Rboxer.png,RightCong
