tag,English,Icon,Spatial
,,resting.png,
,,xsp.png,
1,sculptor,Rsculptor.png,RightNoG
,,resting.png,
,,left.png,
7,ancestor,Rancestor.png,RightIncon
,,resting.png,
,,left.png,
7,position,Rposition.png,RightIncon
,,resting.png,
,,middle.png,
4,digit,Ldigit.png,LeftIrre
,,resting.png,
,,xsp.png,
5,bean,Lbean.png,LeftNoG
,,resting.png,
,,middle.png,
8,goose,Rgoose.png,RightIrre
,,resting.png,
,,xsp.png,
5,intestine,Lintestine.png,LeftNoG
,,resting.png,
,,right.png,
3,gymnasium,Lgymnasium.png,LeftIncon
,,resting.png,
,,left.png,
7,vaccine,Rvaccine.png,RightIncon
,,resting.png,
,,right.png,
3,history,Lhistory.png,LeftIncon
,,resting.png,
,,middle.png,
4,project,Lproject.png,LeftIrre
,,resting.png,
,,right.png,
3,hurricane,Lhurricane.png,LeftIncon
,,resting.png,
,,left.png,
2,society,Lsociety.png,LeftCong
,,resting.png,
,,left.png,
2,example,Lexample.png,LeftCong
,,resting.png,
,,left.png,
2,adverb,Ladverb.png,LeftCong
,,resting.png,
,,right.png,
3,horse,Lhorse.png,LeftIncon
,,resting.png,
,,middle.png,
8,mermaid,Rmermaid.png,RightIrre
,,resting.png,
,,right.png,
6,asthma,Rasthma.png,RightCong
,,resting.png,
,,left.png,
7,nail,Rnail.png,RightIncon
,,resting.png,
,,left.png,
2,earthquake,Learthquake.png,LeftCong
,,resting.png,
,,xsp.png,
1,monkey,Rmonkey.png,RightNoG
,,resting.png,
,,xsp.png,
1,answer,Ranswer.png,RightNoG
,,resting.png,
,,middle.png,
4,problem,Lproblem.png,LeftIrre
,,resting.png,
,,middle.png,
8,marriage,Rmarriage.png,RightIrre
,,resting.png,
,,middle.png,
4,thing,Lthing.png,LeftIrre
,,resting.png,
,,xsp.png,
5,arm,Larm.png,LeftNoG
,,resting.png,
,,left.png,
2,dialect,Ldialect.png,LeftCong
,,resting.png,
,,xsp.png,
5,freedom,Lfreedom.png,LeftNoG
,,resting.png,
,,middle.png,
8,hair,Rhair.png,RightIrre
,,resting.png,
,,right.png,
6,spider,Rspider.png,RightCong
,,resting.png,
,,xsp.png,
1,house,Rhouse.png,RightNoG
,,resting.png,
,,middle.png,
8,heat,Rheat.png,RightIrre
,,resting.png,
,,xsp.png,
5,diagram,Ldiagram.png,LeftNoG
,,resting.png,
,,right.png,
3,inertia,Linertia.png,LeftIncon
,,resting.png,
,,left.png,
7,change,Rchange.png,RightIncon
,,resting.png,
,,right.png,
6,telephone,Rtelephone.png,RightCong
,,resting.png,
,,right.png,
6,expression,Rexpression.png,RightCong
,,resting.png,
,,middle.png,
4,wall,Lwall.png,LeftIrre
,,resting.png,
,,xsp.png,
1,banana,Rbanana.png,RightNoG
,,resting.png,
,,right.png,
6,peach,Rpeach.png,RightCong
