tag,English,Icon,Spatial
,,resting.png,
,,right.png,
4,dynamite,Rdynamite.png,RightCong
,,resting.png,
,,right.png,
1,torture,Ltorture.png,LeftIncon
,,resting.png,
,,xsp.png,
3,friend,Lfriend.png,LeftNoG
,,resting.png,
,,middle.png,
2,trophy,Ltrophy.png,LeftIrre
,,resting.png,
,,right.png,
1,reality,Lreality.png,LeftIncon
,,resting.png,
,,left.png,
5,literature,Rliterature.png,RightIncon
,,resting.png,
,,xsp.png,
7,face,Rface.png,RightNoG
,,resting.png,
,,left.png,
5,future,Rfuture.png,RightIncon
,,resting.png,
,,middle.png,
6,marathon,Rmarathon.png,RightIrre
,,resting.png,
,,right.png,
4,level,Rlevel.png,RightCong
,,resting.png,
,,xsp.png,
3,light,Llight.png,LeftNoG
,,resting.png,
,,left.png,
5,napkin,Rnapkin.png,RightIncon
,,resting.png,
,,right.png,
1,morning,Lmorning.png,LeftIncon
,,resting.png,
,,left.png,
8,parrot,Lparrot.png,LeftCong
,,resting.png,
,,xsp.png,
7,summer,Rsummer.png,RightNoG
,,resting.png,
,,middle.png,
6,bed,Rbed.png,RightIrre
,,resting.png,
,,xsp.png,
3,carnival,Lcarnival.png,LeftNoG
,,resting.png,
,,right.png,
1,order,Lorder.png,LeftIncon
,,resting.png,
,,left.png,
5,center,Rcenter.png,RightIncon
,,resting.png,
,,left.png,
5,tradition,Rtradition.png,RightIncon
,,resting.png,
,,middle.png,
6,attitude,Rattitude.png,RightIrre
,,resting.png,
,,left.png,
8,feminist,Lfeminist.png,LeftCong
,,resting.png,
,,xsp.png,
7,camel,Rcamel.png,RightNoG
,,resting.png,
,,left.png,
8,cabbage,Lcabbage.png,LeftCong
,,resting.png,
,,middle.png,
2,letter,Lletter.png,LeftIrre
,,resting.png,
,,right.png,
4,axe,Raxe.png,RightCong
,,resting.png,
,,xsp.png,
7,character,Rcharacter.png,RightNoG
,,resting.png,
,,middle.png,
2,war,Lwar.png,LeftIrre
,,resting.png,
,,right.png,
4,series,Rseries.png,RightCong
,,resting.png,
,,middle.png,
6,body,Rbody.png,RightIrre
,,resting.png,
,,xsp.png,
7,fisherman,Rfisherman.png,RightNoG
,,resting.png,
,,left.png,
8,allergy,Lallergy.png,LeftCong
,,resting.png,
,,xsp.png,
3,pharmacy,Lpharmacy.png,LeftNoG
,,resting.png,
,,middle.png,
2,week,Lweek.png,LeftIrre
,,resting.png,
,,left.png,
8,floor,Lfloor.png,LeftCong
,,resting.png,
,,xsp.png,
3,situation,Lsituation.png,LeftNoG
,,resting.png,
,,right.png,
1,mouth,Lmouth.png,LeftIncon
,,resting.png,
,,middle.png,
6,style,Rstyle.png,RightIrre
,,resting.png,
,,right.png,
4,analysis,Ranalysis.png,RightCong
,,resting.png,
,,middle.png,
2,orphan,Lorphan.png,LeftIrre
