tag,English,Icon,Spatial
,,resting.png,
,,left.png,
2,example,Rexample.png,RightIncon
,,resting.png,
,,middle.png,
3,inertia,Rinertia.png,RightIrre
,,resting.png,
,,xsp.png,
4,thing,Rthing.png,RightNoG
,,resting.png,
,,xsp.png,
8,goose,Lgoose.png,LeftNoG
,,resting.png,
,,middle.png,
7,vaccine,Lvaccine.png,LeftIrre
,,resting.png,
,,left.png,
2,dialect,Rdialect.png,RightIncon
,,resting.png,
,,left.png,
5,bean,Lbean.png,LeftCong
,,resting.png,
,,xsp.png,
8,marriage,Lmarriage.png,LeftNoG
,,resting.png,
,,right.png,
6,telephone,Ltelephone.png,LeftIncon
,,resting.png,
,,middle.png,
7,position,Lposition.png,LeftIrre
,,resting.png,
,,middle.png,
3,hurricane,Rhurricane.png,RightIrre
,,resting.png,
,,left.png,
5,arm,Larm.png,LeftCong
,,resting.png,
,,middle.png,
7,nail,Lnail.png,LeftIrre
,,resting.png,
,,middle.png,
7,ancestor,Lancestor.png,LeftIrre
,,resting.png,
,,middle.png,
3,gymnasium,Rgymnasium.png,RightIrre
,,resting.png,
,,right.png,
6,spider,Lspider.png,LeftIncon
,,resting.png,
,,middle.png,
7,change,Lchange.png,LeftIrre
,,resting.png,
,,right.png,
6,peach,Lpeach.png,LeftIncon
,,resting.png,
,,xsp.png,
4,wall,Rwall.png,RightNoG
,,resting.png,
,,middle.png,
3,history,Rhistory.png,RightIrre
,,resting.png,
,,middle.png,
3,horse,Rhorse.png,RightIrre
,,resting.png,
,,xsp.png,
4,digit,Rdigit.png,RightNoG
,,resting.png,
,,right.png,
1,monkey,Rmonkey.png,RightCong
,,resting.png,
,,left.png,
2,earthquake,Rearthquake.png,RightIncon
,,resting.png,
,,left.png,
5,diagram,Ldiagram.png,LeftCong
,,resting.png,
,,left.png,
5,intestine,Lintestine.png,LeftCong
,,resting.png,
,,left.png,
2,adverb,Radverb.png,RightIncon
,,resting.png,
,,right.png,
6,expression,Lexpression.png,LeftIncon
,,resting.png,
,,left.png,
2,society,Rsociety.png,RightIncon
,,resting.png,
,,xsp.png,
8,mermaid,Lmermaid.png,LeftNoG
,,resting.png,
,,right.png,
1,house,Rhouse.png,RightCong
,,resting.png,
,,xsp.png,
8,hair,Lhair.png,LeftNoG
,,resting.png,
,,right.png,
1,answer,Ranswer.png,RightCong
,,resting.png,
,,left.png,
5,freedom,Lfreedom.png,LeftCong
,,resting.png,
,,xsp.png,
4,project,Rproject.png,RightNoG
,,resting.png,
,,right.png,
1,banana,Rbanana.png,RightCong
,,resting.png,
,,xsp.png,
4,problem,Rproblem.png,RightNoG
,,resting.png,
,,right.png,
1,sculptor,Rsculptor.png,RightCong
,,resting.png,
,,right.png,
6,asthma,Lasthma.png,LeftIncon
,,resting.png,
,,xsp.png,
8,heat,Lheat.png,LeftNoG
