tag,English,Icon,Spatial
,,resting.png,
,,xsp.png,
1,answer,Lanswer.png,LeftNoG
,,resting.png,
,,middle.png,
8,marriage,Lmarriage.png,LeftIrre
,,resting.png,
,,xsp.png,
5,diagram,Rdiagram.png,RightNoG
,,resting.png,
,,right.png,
7,vaccine,Lvaccine.png,LeftIncon
,,resting.png,
,,xsp.png,
1,banana,Lbanana.png,LeftNoG
,,resting.png,
,,left.png,
6,peach,Lpeach.png,LeftCong
,,resting.png,
,,middle.png,
4,wall,Rwall.png,RightIrre
,,resting.png,
,,left.png,
3,horse,Rhorse.png,RightIncon
,,resting.png,
,,right.png,
7,ancestor,Lancestor.png,LeftIncon
,,resting.png,
,,xsp.png,
1,house,Lhouse.png,LeftNoG
,,resting.png,
,,xsp.png,
5,intestine,Rintestine.png,RightNoG
,,resting.png,
,,right.png,
7,nail,Lnail.png,LeftIncon
,,resting.png,
,,left.png,
3,gymnasium,Rgymnasium.png,RightIncon
,,resting.png,
,,xsp.png,
5,arm,Rarm.png,RightNoG
,,resting.png,
,,xsp.png,
5,bean,Rbean.png,RightNoG
,,resting.png,
,,right.png,
7,change,Lchange.png,LeftIncon
,,resting.png,
,,middle.png,
8,mermaid,Lmermaid.png,LeftIrre
,,resting.png,
,,left.png,
6,asthma,Lasthma.png,LeftCong
,,resting.png,
,,right.png,
2,society,Rsociety.png,RightCong
,,resting.png,
,,middle.png,
4,thing,Rthing.png,RightIrre
,,resting.png,
,,left.png,
3,hurricane,Rhurricane.png,RightIncon
,,resting.png,
,,right.png,
7,position,Lposition.png,LeftIncon
,,resting.png,
,,middle.png,
4,problem,Rproblem.png,RightIrre
,,resting.png,
,,middle.png,
8,heat,Lheat.png,LeftIrre
,,resting.png,
,,left.png,
3,inertia,Rinertia.png,RightIncon
,,resting.png,
,,left.png,
3,history,Rhistory.png,RightIncon
,,resting.png,
,,right.png,
2,dialect,Rdialect.png,RightCong
,,resting.png,
,,left.png,
6,telephone,Ltelephone.png,LeftCong
,,resting.png,
,,middle.png,
8,goose,Lgoose.png,LeftIrre
,,resting.png,
,,middle.png,
4,project,Rproject.png,RightIrre
,,resting.png,
,,xsp.png,
1,sculptor,Lsculptor.png,LeftNoG
,,resting.png,
,,right.png,
2,example,Rexample.png,RightCong
,,resting.png,
,,right.png,
2,adverb,Radverb.png,RightCong
,,resting.png,
,,middle.png,
8,hair,Lhair.png,LeftIrre
,,resting.png,
,,left.png,
6,spider,Lspider.png,LeftCong
,,resting.png,
,,left.png,
6,expression,Lexpression.png,LeftCong
,,resting.png,
,,right.png,
2,earthquake,Rearthquake.png,RightCong
,,resting.png,
,,xsp.png,
5,freedom,Rfreedom.png,RightNoG
,,resting.png,
,,middle.png,
4,digit,Rdigit.png,RightIrre
,,resting.png,
,,xsp.png,
1,monkey,Lmonkey.png,LeftNoG
