tag,English,Icon,Spatial
,,resting.png,
,,xsp.png,
6,marathon,Rmarathon.png,RightNoG
,,resting.png,
,,left.png,
4,axe,Raxe.png,RightIncon
,,resting.png,
,,left.png,
7,character,Lcharacter.png,LeftCong
,,resting.png,
,,right.png,
8,parrot,Lparrot.png,LeftIncon
,,resting.png,
,,right.png,
8,allergy,Lallergy.png,LeftIncon
,,resting.png,
,,xsp.png,
2,week,Lweek.png,LeftNoG
,,resting.png,
,,middle.png,
1,morning,Lmorning.png,LeftIrre
,,resting.png,
,,left.png,
7,summer,Lsummer.png,LeftCong
,,resting.png,
,,middle.png,
5,future,Rfuture.png,RightIrre
,,resting.png,
,,xsp.png,
6,attitude,Rattitude.png,RightNoG
,,resting.png,
,,right.png,
8,feminist,Lfeminist.png,LeftIncon
,,resting.png,
,,middle.png,
1,reality,Lreality.png,LeftIrre
,,resting.png,
,,right.png,
8,cabbage,Lcabbage.png,LeftIncon
,,resting.png,
,,xsp.png,
2,letter,Lletter.png,LeftNoG
,,resting.png,
,,left.png,
7,fisherman,Lfisherman.png,LeftCong
,,resting.png,
,,middle.png,
5,tradition,Rtradition.png,RightIrre
,,resting.png,
,,xsp.png,
2,orphan,Lorphan.png,LeftNoG
,,resting.png,
,,left.png,
7,camel,Lcamel.png,LeftCong
,,resting.png,
,,left.png,
4,analysis,Ranalysis.png,RightIncon
,,resting.png,
,,right.png,
8,floor,Lfloor.png,LeftIncon
,,resting.png,
,,right.png,
3,carnival,Rcarnival.png,RightCong
,,resting.png,
,,left.png,
4,series,Rseries.png,RightIncon
,,resting.png,
,,right.png,
3,light,Rlight.png,RightCong
,,resting.png,
,,xsp.png,
6,body,Rbody.png,RightNoG
,,resting.png,
,,middle.png,
5,napkin,Rnapkin.png,RightIrre
,,resting.png,
,,xsp.png,
6,style,Rstyle.png,RightNoG
,,resting.png,
,,middle.png,
5,literature,Rliterature.png,RightIrre
,,resting.png,
,,right.png,
3,pharmacy,Rpharmacy.png,RightCong
,,resting.png,
,,middle.png,
1,torture,Ltorture.png,LeftIrre
,,resting.png,
,,right.png,
3,situation,Rsituation.png,RightCong
,,resting.png,
,,left.png,
4,dynamite,Rdynamite.png,RightIncon
,,resting.png,
,,middle.png,
1,order,Lorder.png,LeftIrre
,,resting.png,
,,left.png,
7,face,Lface.png,LeftCong
,,resting.png,
,,right.png,
3,friend,Rfriend.png,RightCong
,,resting.png,
,,xsp.png,
2,war,Lwar.png,LeftNoG
,,resting.png,
,,middle.png,
5,center,Rcenter.png,RightIrre
,,resting.png,
,,left.png,
4,level,Rlevel.png,RightIncon
,,resting.png,
,,xsp.png,
2,trophy,Ltrophy.png,LeftNoG
,,resting.png,
,,middle.png,
1,mouth,Lmouth.png,LeftIrre
,,resting.png,
,,xsp.png,
6,bed,Rbed.png,RightNoG
