tag,English,Icon,Spatial
,,resting.png,
,,right.png,
3,light,Llight.png,LeftIncon
,,resting.png,
,,middle.png,
4,analysis,Lanalysis.png,LeftIrre
,,resting.png,
,,xsp.png,
5,napkin,Lnapkin.png,LeftNoG
,,resting.png,
,,left.png,
7,character,Rcharacter.png,RightIncon
,,resting.png,
,,left.png,
7,fisherman,Rfisherman.png,RightIncon
,,resting.png,
,,left.png,
2,trophy,Ltrophy.png,LeftCong
,,resting.png,
,,middle.png,
4,dynamite,Ldynamite.png,LeftIrre
,,resting.png,
,,left.png,
2,orphan,Lorphan.png,LeftCong
,,resting.png,
,,left.png,
7,face,Rface.png,RightIncon
,,resting.png,
,,right.png,
6,bed,Rbed.png,RightCong
,,resting.png,
,,middle.png,
8,cabbage,Rcabbage.png,RightIrre
,,resting.png,
,,middle.png,
4,level,Llevel.png,LeftIrre
,,resting.png,
,,xsp.png,
5,future,Lfuture.png,LeftNoG
,,resting.png,
,,middle.png,
8,parrot,Rparrot.png,RightIrre
,,resting.png,
,,right.png,
6,marathon,Rmarathon.png,RightCong
,,resting.png,
,,xsp.png,
1,mouth,Rmouth.png,RightNoG
,,resting.png,
,,xsp.png,
5,tradition,Ltradition.png,LeftNoG
,,resting.png,
,,right.png,
3,situation,Lsituation.png,LeftIncon
,,resting.png,
,,xsp.png,
1,morning,Rmorning.png,RightNoG
,,resting.png,
,,xsp.png,
1,torture,Rtorture.png,RightNoG
,,resting.png,
,,xsp.png,
1,reality,Rreality.png,RightNoG
,,resting.png,
,,left.png,
7,camel,Rcamel.png,RightIncon
,,resting.png,
,,right.png,
6,body,Rbody.png,RightCong
,,resting.png,
,,left.png,
2,war,Lwar.png,LeftCong
,,resting.png,
,,left.png,
2,week,Lweek.png,LeftCong
,,resting.png,
,,middle.png,
8,allergy,Rallergy.png,RightIrre
,,resting.png,
,,left.png,
7,summer,Rsummer.png,RightIncon
,,resting.png,
,,left.png,
2,letter,Lletter.png,LeftCong
,,resting.png,
,,middle.png,
8,floor,Rfloor.png,RightIrre
,,resting.png,
,,middle.png,
8,feminist,Rfeminist.png,RightIrre
,,resting.png,
,,xsp.png,
1,order,Rorder.png,RightNoG
,,resting.png,
,,right.png,
6,style,Rstyle.png,RightCong
,,resting.png,
,,xsp.png,
5,center,Lcenter.png,LeftNoG
,,resting.png,
,,right.png,
6,attitude,Rattitude.png,RightCong
,,resting.png,
,,middle.png,
4,series,Lseries.png,LeftIrre
,,resting.png,
,,middle.png,
4,axe,Laxe.png,LeftIrre
,,resting.png,
,,right.png,
3,pharmacy,Lpharmacy.png,LeftIncon
,,resting.png,
,,right.png,
3,carnival,Lcarnival.png,LeftIncon
,,resting.png,
,,right.png,
3,friend,Lfriend.png,LeftIncon
,,resting.png,
,,xsp.png,
5,literature,Lliterature.png,LeftNoG
