tag,English,Icon,Spatial
,,resting.png,
,,left.png,
1,order,Lorder.png,LeftCong
,,resting.png,
,,right.png,
5,tradition,Rtradition.png,RightCong
,,resting.png,
,,middle.png,
7,summer,Rsummer.png,RightIrre
,,resting.png,
,,left.png,
6,bed,Rbed.png,RightIncon
,,resting.png,
,,left.png,
6,body,Rbody.png,RightIncon
,,resting.png,
,,xsp.png,
8,floor,Rfloor.png,RightNoG
,,resting.png,
,,middle.png,
7,fisherman,Rfisherman.png,RightIrre
,,resting.png,
,,xsp.png,
4,dynamite,Ldynamite.png,LeftNoG
,,resting.png,
,,right.png,
2,week,Lweek.png,LeftIncon
,,resting.png,
,,xsp.png,
4,axe,Laxe.png,LeftNoG
,,resting.png,
,,right.png,
2,war,Lwar.png,LeftIncon
,,resting.png,
,,left.png,
1,torture,Ltorture.png,LeftCong
,,resting.png,
,,xsp.png,
8,cabbage,Rcabbage.png,RightNoG
,,resting.png,
,,middle.png,
7,character,Rcharacter.png,RightIrre
,,resting.png,
,,right.png,
5,literature,Rliterature.png,RightCong
,,resting.png,
,,middle.png,
3,pharmacy,Lpharmacy.png,LeftIrre
,,resting.png,
,,xsp.png,
8,parrot,Rparrot.png,RightNoG
,,resting.png,
,,middle.png,
7,face,Rface.png,RightIrre
,,resting.png,
,,xsp.png,
8,feminist,Rfeminist.png,RightNoG
,,resting.png,
,,middle.png,
3,situation,Lsituation.png,LeftIrre
,,resting.png,
,,left.png,
1,morning,Lmorning.png,LeftCong
,,resting.png,
,,xsp.png,
4,analysis,Lanalysis.png,LeftNoG
,,resting.png,
,,left.png,
1,mouth,Lmouth.png,LeftCong
,,resting.png,
,,left.png,
6,style,Rstyle.png,RightIncon
,,resting.png,
,,left.png,
6,attitude,Rattitude.png,RightIncon
,,resting.png,
,,left.png,
6,marathon,Rmarathon.png,RightIncon
,,resting.png,
,,right.png,
2,letter,Lletter.png,LeftIncon
,,resting.png,
,,xsp.png,
4,series,Lseries.png,LeftNoG
,,resting.png,
,,middle.png,
3,friend,Lfriend.png,LeftIrre
,,resting.png,
,,right.png,
5,napkin,Rnapkin.png,RightCong
,,resting.png,
,,right.png,
2,trophy,Ltrophy.png,LeftIncon
,,resting.png,
,,middle.png,
3,carnival,Lcarnival.png,LeftIrre
,,resting.png,
,,middle.png,
3,light,Llight.png,LeftIrre
,,resting.png,
,,middle.png,
7,camel,Rcamel.png,RightIrre
,,resting.png,
,,right.png,
5,center,Rcenter.png,RightCong
,,resting.png,
,,xsp.png,
8,allergy,Rallergy.png,RightNoG
,,resting.png,
,,left.png,
1,reality,Lreality.png,LeftCong
,,resting.png,
,,right.png,
5,future,Rfuture.png,RightCong
,,resting.png,
,,right.png,
2,orphan,Lorphan.png,LeftIncon
,,resting.png,
,,xsp.png,
4,level,Llevel.png,LeftNoG
