tag,English,Icon,Spatial
,,resting.png,
,,left.png,
2,orphan,Rorphan.png,RightIncon
,,resting.png,
,,xsp.png,
4,level,Rlevel.png,RightNoG
,,resting.png,
,,left.png,
2,letter,Rletter.png,RightIncon
,,resting.png,
,,right.png,
6,bed,Lbed.png,LeftIncon
,,resting.png,
,,right.png,
1,morning,Rmorning.png,RightCong
,,resting.png,
,,middle.png,
7,camel,Lcamel.png,LeftIrre
,,resting.png,
,,middle.png,
7,character,Lcharacter.png,LeftIrre
,,resting.png,
,,xsp.png,
4,axe,Raxe.png,RightNoG
,,resting.png,
,,left.png,
5,napkin,Lnapkin.png,LeftCong
,,resting.png,
,,xsp.png,
8,floor,Lfloor.png,LeftNoG
,,resting.png,
,,left.png,
5,literature,Lliterature.png,LeftCong
,,resting.png,
,,right.png,
1,mouth,Rmouth.png,RightCong
,,resting.png,
,,right.png,
6,style,Lstyle.png,LeftIncon
,,resting.png,
,,left.png,
5,future,Lfuture.png,LeftCong
,,resting.png,
,,xsp.png,
8,parrot,Lparrot.png,LeftNoG
,,resting.png,
,,left.png,
2,war,Rwar.png,RightIncon
,,resting.png,
,,right.png,
6,attitude,Lattitude.png,LeftIncon
,,resting.png,
,,right.png,
1,order,Rorder.png,RightCong
,,resting.png,
,,xsp.png,
8,feminist,Lfeminist.png,LeftNoG
,,resting.png,
,,left.png,
5,tradition,Ltradition.png,LeftCong
,,resting.png,
,,middle.png,
3,pharmacy,Rpharmacy.png,RightIrre
,,resting.png,
,,left.png,
2,trophy,Rtrophy.png,RightIncon
,,resting.png,
,,xsp.png,
4,dynamite,Rdynamite.png,RightNoG
,,resting.png,
,,xsp.png,
8,allergy,Lallergy.png,LeftNoG
,,resting.png,
,,middle.png,
7,fisherman,Lfisherman.png,LeftIrre
,,resting.png,
,,xsp.png,
4,analysis,Ranalysis.png,RightNoG
,,resting.png,
,,middle.png,
3,light,Rlight.png,RightIrre
,,resting.png,
,,left.png,
2,week,Rweek.png,RightIncon
,,resting.png,
,,right.png,
1,torture,Rtorture.png,RightCong
,,resting.png,
,,right.png,
6,body,Lbody.png,LeftIncon
,,resting.png,
,,right.png,
6,marathon,Lmarathon.png,LeftIncon
,,resting.png,
,,left.png,
5,center,Lcenter.png,LeftCong
,,resting.png,
,,middle.png,
3,carnival,Rcarnival.png,RightIrre
,,resting.png,
,,middle.png,
3,situation,Rsituation.png,RightIrre
,,resting.png,
,,middle.png,
7,face,Lface.png,LeftIrre
,,resting.png,
,,xsp.png,
8,cabbage,Lcabbage.png,LeftNoG
,,resting.png,
,,xsp.png,
4,series,Rseries.png,RightNoG
,,resting.png,
,,middle.png,
3,friend,Rfriend.png,RightIrre
,,resting.png,
,,right.png,
1,reality,Rreality.png,RightCong
,,resting.png,
,,middle.png,
7,summer,Lsummer.png,LeftIrre
