tag,English,Icon,Spatial
,,resting.png,
,,xsp.png,
6,dog,Ldog.png,LeftNoG
,,resting.png,
,,left.png,
3,issue,Lissue.png,LeftCong
,,resting.png,
,,right.png,
4,magnet,Lmagnet.png,LeftIncon
,,resting.png,
,,xsp.png,
2,question,Rquestion.png,RightNoG
,,resting.png,
,,middle.png,
5,winner,Lwinner.png,LeftIrre
,,resting.png,
,,middle.png,
5,table,Ltable.png,LeftIrre
,,resting.png,
,,left.png,
3,blood,Lblood.png,LeftCong
,,resting.png,
,,left.png,
3,telescope,Ltelescope.png,LeftCong
,,resting.png,
,,middle.png,
1,knuckle,Rknuckle.png,RightIrre
,,resting.png,
,,right.png,
7,wig,Rwig.png,RightCong
,,resting.png,
,,left.png,
3,brake,Lbrake.png,LeftCong
,,resting.png,
,,middle.png,
5,trumpet,Ltrumpet.png,LeftIrre
,,resting.png,
,,right.png,
7,octopus,Roctopus.png,RightCong
,,resting.png,
,,xsp.png,
2,coconut,Rcoconut.png,RightNoG
,,resting.png,
,,xsp.png,
6,lice,Llice.png,LeftNoG
,,resting.png,
,,left.png,
8,reason,Rreason.png,RightIncon
,,resting.png,
,,left.png,
3,broom,Lbroom.png,LeftCong
,,resting.png,
,,xsp.png,
2,street,Rstreet.png,RightNoG
,,resting.png,
,,xsp.png,
2,bracelet,Rbracelet.png,RightNoG
,,resting.png,
,,middle.png,
1,skeleton,Rskeleton.png,RightIrre
,,resting.png,
,,middle.png,
5,triangle,Ltriangle.png,LeftIrre
,,resting.png,
,,left.png,
8,crow,Rcrow.png,RightIncon
,,resting.png,
,,right.png,
4,agreement,Lagreement.png,LeftIncon
,,resting.png,
,,right.png,
4,rigidity,Lrigidity.png,LeftIncon
,,resting.png,
,,left.png,
8,sinner,Rsinner.png,RightIncon
,,resting.png,
,,middle.png,
1,hour,Rhour.png,RightIrre
,,resting.png,
,,xsp.png,
6,parachute,Lparachute.png,LeftNoG
,,resting.png,
,,middle.png,
1,figure,Rfigure.png,RightIrre
,,resting.png,
,,right.png,
7,wasp,Rwasp.png,RightCong
,,resting.png,
,,left.png,
8,food,Rfood.png,RightIncon
,,resting.png,
,,right.png,
4,eagle,Leagle.png,LeftIncon
,,resting.png,
,,right.png,
7,shrimp,Rshrimp.png,RightCong
,,resting.png,
,,middle.png,
1,blessing,Rblessing.png,RightIrre
,,resting.png,
,,right.png,
7,door,Rdoor.png,RightCong
,,resting.png,
,,middle.png,
5,husband,Lhusband.png,LeftIrre
,,resting.png,
,,xsp.png,
6,hypocrite,Lhypocrite.png,LeftNoG
,,resting.png,
,,xsp.png,
6,grape,Lgrape.png,LeftNoG
,,resting.png,
,,xsp.png,
2,claw,Rclaw.png,RightNoG
,,resting.png,
,,right.png,
4,sausage,Lsausage.png,LeftIncon
,,resting.png,
,,left.png,
8,life,Rlife.png,RightIncon
