tag,English,Icon,Spatial
,,resting.png,
,,left.png,
1,skeleton,Rskeleton.png,RightIncon
,,resting.png,
,,right.png,
8,food,Rfood.png,RightCong
,,resting.png,
,,middle.png,
2,street,Rstreet.png,RightIrre
,,resting.png,
,,left.png,
1,blessing,Rblessing.png,RightIncon
,,resting.png,
,,left.png,
1,figure,Rfigure.png,RightIncon
,,resting.png,
,,right.png,
5,triangle,Ltriangle.png,LeftIncon
,,resting.png,
,,right.png,
8,crow,Rcrow.png,RightCong
,,resting.png,
,,left.png,
1,knuckle,Rknuckle.png,RightIncon
,,resting.png,
,,middle.png,
2,bracelet,Rbracelet.png,RightIrre
,,resting.png,
,,xsp.png,
7,wasp,Lwasp.png,LeftNoG
,,resting.png,
,,middle.png,
6,grape,Lgrape.png,LeftIrre
,,resting.png,
,,middle.png,
6,hypocrite,Lhypocrite.png,LeftIrre
,,resting.png,
,,middle.png,
6,parachute,Lparachute.png,LeftIrre
,,resting.png,
,,middle.png,
2,claw,Rclaw.png,RightIrre
,,resting.png,
,,right.png,
5,winner,Lwinner.png,LeftIncon
,,resting.png,
,,xsp.png,
3,issue,Rissue.png,RightNoG
,,resting.png,
,,middle.png,
2,question,Rquestion.png,RightIrre
,,resting.png,
,,xsp.png,
3,brake,Rbrake.png,RightNoG
,,resting.png,
,,right.png,
8,sinner,Rsinner.png,RightCong
,,resting.png,
,,left.png,
4,eagle,Leagle.png,LeftCong
,,resting.png,
,,xsp.png,
3,broom,Rbroom.png,RightNoG
,,resting.png,
,,xsp.png,
7,door,Ldoor.png,LeftNoG
,,resting.png,
,,right.png,
8,life,Rlife.png,RightCong
,,resting.png,
,,xsp.png,
7,wig,Lwig.png,LeftNoG
,,resting.png,
,,middle.png,
2,coconut,Rcoconut.png,RightIrre
,,resting.png,
,,xsp.png,
3,telescope,Rtelescope.png,RightNoG
,,resting.png,
,,right.png,
8,reason,Rreason.png,RightCong
,,resting.png,
,,right.png,
5,husband,Lhusband.png,LeftIncon
,,resting.png,
,,right.png,
5,table,Ltable.png,LeftIncon
,,resting.png,
,,left.png,
1,hour,Rhour.png,RightIncon
,,resting.png,
,,middle.png,
6,lice,Llice.png,LeftIrre
,,resting.png,
,,left.png,
4,sausage,Lsausage.png,LeftCong
,,resting.png,
,,xsp.png,
7,octopus,Loctopus.png,LeftNoG
,,resting.png,
,,xsp.png,
3,blood,Rblood.png,RightNoG
,,resting.png,
,,left.png,
4,agreement,Lagreement.png,LeftCong
,,resting.png,
,,left.png,
4,magnet,Lmagnet.png,LeftCong
,,resting.png,
,,right.png,
5,trumpet,Ltrumpet.png,LeftIncon
,,resting.png,
,,left.png,
4,rigidity,Lrigidity.png,LeftCong
,,resting.png,
,,middle.png,
6,dog,Ldog.png,LeftIrre
,,resting.png,
,,xsp.png,
7,shrimp,Lshrimp.png,LeftNoG
