tag,English,Icon,Spatial
,,xsp.png,
8,coffee,Rcoffee.png,RightNoG
,,right.png,
2,ant,Lant.png,LeftIncon
,,xsp.png,
8,part,Rpart.png,RightNoG
,,right.png,
2,magician,Lmagician.png,LeftIncon
,,left.png,
1,hymn,Lhymn.png,LeftCong
,,left.png,
6,school,Rschool.png,RightIncon
,,middle.png,
7,image,Rimage.png,RightIrre
,,right.png,
2,number,Lnumber.png,LeftIncon
,,right.png,
5,opinion,Ropinion.png,RightCong
,,left.png,
1,music,Lmusic.png,LeftCong
,,right.png,
2,duck,Lduck.png,LeftIncon
,,middle.png,
3,burglar,Lburglar.png,LeftIrre
,,xsp.png,
8,peanut,Rpeanut.png,RightNoG
,,middle.png,
3,corner,Lcorner.png,LeftIrre
,,xsp.png,
8,king,Rking.png,RightNoG
,,right.png,
2,mind,Lmind.png,LeftIncon
,,left.png,
6,mushroom,Rmushroom.png,RightIncon
,,right.png,
5,family,Rfamily.png,RightCong
,,middle.png,
7,girl,Rgirl.png,RightIrre
,,left.png,
6,car,Rcar.png,RightIncon
,,right.png,
5,day,Rday.png,RightCong
,,middle.png,
3,abduction,Labduction.png,LeftIrre
,,left.png,
1,boxer,Lboxer.png,LeftCong
,,right.png,
5,clown,Rclown.png,RightCong
,,middle.png,
7,olive,Rolive.png,RightIrre
,,xsp.png,
4,city,Lcity.png,LeftNoG
,,left.png,
6,law,Rlaw.png,RightIncon
,,middle.png,
3,memory,Lmemory.png,LeftIrre
,,right.png,
5,almond,Ralmond.png,RightCong
,,xsp.png,
4,attention,Lattention.png,LeftNoG
,,xsp.png,
4,voice,Lvoice.png,LeftNoG
,,middle.png,
7,country,Rcountry.png,RightIrre
,,left.png,
6,service,Rservice.png,RightIncon
,,left.png,
1,production,Lproduction.png,LeftCong
,,xsp.png,
4,esteem,Lesteem.png,LeftNoG
,,middle.png,
7,method,Rmethod.png,RightIrre
,,middle.png,
3,money,Lmoney.png,LeftIrre
,,left.png,
1,garlic,Lgarlic.png,LeftCong
,,xsp.png,
4,calorie,Lcalorie.png,LeftNoG
,,xsp.png,
8,crucifix,Rcrucifix.png,RightNoG
