tag,English,Icon,Spatial
,,resting.png,
,,middle.png,
6,service,Rservice.png,RightIrre
,,resting.png,
,,middle.png,
2,number,Lnumber.png,LeftIrre
,,resting.png,
,,left.png,
5,family,Rfamily.png,RightIncon
,,resting.png,
,,xsp.png,
7,girl,Rgirl.png,RightNoG
,,resting.png,
,,middle.png,
2,duck,Lduck.png,LeftIrre
,,resting.png,
,,left.png,
5,clown,Rclown.png,RightIncon
,,resting.png,
,,xsp.png,
3,corner,Lcorner.png,LeftNoG
,,resting.png,
,,right.png,
1,hymn,Lhymn.png,LeftIncon
,,resting.png,
,,xsp.png,
3,money,Lmoney.png,LeftNoG
,,resting.png,
,,xsp.png,
7,country,Rcountry.png,RightNoG
,,resting.png,
,,right.png,
1,production,Lproduction.png,LeftIncon
,,resting.png,
,,middle.png,
6,school,Rschool.png,RightIrre
,,resting.png,
,,left.png,
5,opinion,Ropinion.png,RightIncon
,,resting.png,
,,right.png,
1,garlic,Lgarlic.png,LeftIncon
,,resting.png,
,,xsp.png,
7,image,Rimage.png,RightNoG
,,resting.png,
,,left.png,
8,king,Lking.png,LeftCong
,,resting.png,
,,middle.png,
6,law,Rlaw.png,RightIrre
,,resting.png,
,,middle.png,
6,mushroom,Rmushroom.png,RightIrre
,,resting.png,
,,xsp.png,
7,olive,Rolive.png,RightNoG
,,resting.png,
,,left.png,
8,coffee,Lcoffee.png,LeftCong
,,resting.png,
,,left.png,
8,crucifix,Lcrucifix.png,LeftCong
,,resting.png,
,,middle.png,
2,ant,Lant.png,LeftIrre
,,resting.png,
,,xsp.png,
3,burglar,Lburglar.png,LeftNoG
,,resting.png,
,,right.png,
4,city,Rcity.png,RightCong
,,resting.png,
,,left.png,
5,day,Rday.png,RightIncon
,,resting.png,
,,right.png,
4,esteem,Resteem.png,RightCong
,,resting.png,
,,middle.png,
6,car,Rcar.png,RightIrre
,,resting.png,
,,xsp.png,
3,abduction,Labduction.png,LeftNoG
,,resting.png,
,,xsp.png,
3,memory,Lmemory.png,LeftNoG
,,resting.png,
,,right.png,
4,calorie,Rcalorie.png,RightCong
,,resting.png,
,,right.png,
4,attention,Rattention.png,RightCong
,,resting.png,
,,left.png,
8,part,Lpart.png,LeftCong
,,resting.png,
,,right.png,
4,voice,Rvoice.png,RightCong
,,resting.png,
,,left.png,
8,peanut,Lpeanut.png,LeftCong
,,resting.png,
,,right.png,
1,boxer,Lboxer.png,LeftIncon
,,resting.png,
,,middle.png,
2,magician,Lmagician.png,LeftIrre
,,resting.png,
,,xsp.png,
7,method,Rmethod.png,RightNoG
,,resting.png,
,,right.png,
1,music,Lmusic.png,LeftIncon
,,resting.png,
,,middle.png,
2,mind,Lmind.png,LeftIrre
,,resting.png,
,,left.png,
5,almond,Ralmond.png,RightIncon
