tag,English,Icon,Spatial
,,right.png,
7,change,Rchange.png,RightCong
,,right.png,
7,position,Rposition.png,RightCong
,,right.png,
7,vaccine,Rvaccine.png,RightCong
,,middle.png,
1,monkey,Rmonkey.png,RightIrre
,,middle.png,
1,answer,Ranswer.png,RightIrre
,,middle.png,
5,bean,Lbean.png,LeftIrre
,,left.png,
8,mermaid,Rmermaid.png,RightIncon
,,left.png,
8,heat,Rheat.png,RightIncon
,,right.png,
4,problem,Lproblem.png,LeftIncon
,,right.png,
4,digit,Ldigit.png,LeftIncon
,,right.png,
7,ancestor,Rancestor.png,RightCong
,,xsp.png,
2,society,Rsociety.png,RightNoG
,,middle.png,
5,diagram,Ldiagram.png,LeftIrre
,,right.png,
4,thing,Lthing.png,LeftIncon
,,middle.png,
5,arm,Larm.png,LeftIrre
,,xsp.png,
6,telephone,Ltelephone.png,LeftNoG
,,xsp.png,
2,dialect,Rdialect.png,RightNoG
,,middle.png,
1,banana,Rbanana.png,RightIrre
,,xsp.png,
2,adverb,Radverb.png,RightNoG
,,xsp.png,
6,spider,Lspider.png,LeftNoG
,,right.png,
4,wall,Lwall.png,LeftIncon
,,left.png,
3,history,Lhistory.png,LeftCong
,,xsp.png,
6,expression,Lexpression.png,LeftNoG
,,middle.png,
5,freedom,Lfreedom.png,LeftIrre
,,left.png,
3,gymnasium,Lgymnasium.png,LeftCong
,,xsp.png,
6,asthma,Lasthma.png,LeftNoG
,,left.png,
3,inertia,Linertia.png,LeftCong
,,xsp.png,
2,earthquake,Rearthquake.png,RightNoG
,,middle.png,
1,house,Rhouse.png,RightIrre
,,left.png,
3,horse,Lhorse.png,LeftCong
,,middle.png,
5,intestine,Lintestine.png,LeftIrre
,,xsp.png,
2,example,Rexample.png,RightNoG
,,left.png,
3,hurricane,Lhurricane.png,LeftCong
,,left.png,
8,goose,Rgoose.png,RightIncon
,,right.png,
7,nail,Rnail.png,RightCong
,,left.png,
8,marriage,Rmarriage.png,RightIncon
,,middle.png,
1,sculptor,Rsculptor.png,RightIrre
,,xsp.png,
6,peach,Lpeach.png,LeftNoG
,,right.png,
4,project,Lproject.png,LeftIncon
,,left.png,
8,hair,Rhair.png,RightIncon
