tag,English,Icon,Spatial
,,resting.png,
,,xsp.png,
1,garlic,Rgarlic.png,RightNoG
,,resting.png,
,,middle.png,
4,voice,Lvoice.png,LeftIrre
,,resting.png,
,,middle.png,
8,coffee,Rcoffee.png,RightIrre
,,resting.png,
,,left.png,
2,ant,Lant.png,LeftCong
,,resting.png,
,,left.png,
7,girl,Rgirl.png,RightIncon
,,resting.png,
,,xsp.png,
1,boxer,Rboxer.png,RightNoG
,,resting.png,
,,middle.png,
8,peanut,Rpeanut.png,RightIrre
,,resting.png,
,,xsp.png,
1,music,Rmusic.png,RightNoG
,,resting.png,
,,right.png,
3,memory,Lmemory.png,LeftIncon
,,resting.png,
,,left.png,
7,image,Rimage.png,RightIncon
,,resting.png,
,,right.png,
6,service,Rservice.png,RightCong
,,resting.png,
,,middle.png,
8,crucifix,Rcrucifix.png,RightIrre
,,resting.png,
,,right.png,
6,mushroom,Rmushroom.png,RightCong
,,resting.png,
,,left.png,
2,duck,Lduck.png,LeftCong
,,resting.png,
,,xsp.png,
1,production,Rproduction.png,RightNoG
,,resting.png,
,,left.png,
2,magician,Lmagician.png,LeftCong
,,resting.png,
,,xsp.png,
5,family,Lfamily.png,LeftNoG
,,resting.png,
,,middle.png,
4,city,Lcity.png,LeftIrre
,,resting.png,
,,middle.png,
4,attention,Lattention.png,LeftIrre
,,resting.png,
,,middle.png,
4,calorie,Lcalorie.png,LeftIrre
,,resting.png,
,,middle.png,
4,esteem,Lesteem.png,LeftIrre
,,resting.png,
,,xsp.png,
5,opinion,Lopinion.png,LeftNoG
,,resting.png,
,,xsp.png,
1,hymn,Rhymn.png,RightNoG
,,resting.png,
,,right.png,
3,corner,Lcorner.png,LeftIncon
,,resting.png,
,,right.png,
6,car,Rcar.png,RightCong
,,resting.png,
,,right.png,
6,law,Rlaw.png,RightCong
,,resting.png,
,,xsp.png,
5,clown,Lclown.png,LeftNoG
,,resting.png,
,,left.png,
2,number,Lnumber.png,LeftCong
,,resting.png,
,,left.png,
2,mind,Lmind.png,LeftCong
,,resting.png,
,,left.png,
7,olive,Rolive.png,RightIncon
,,resting.png,
,,right.png,
3,money,Lmoney.png,LeftIncon
,,resting.png,
,,right.png,
3,burglar,Lburglar.png,LeftIncon
,,resting.png,
,,right.png,
6,school,Rschool.png,RightCong
,,resting.png,
,,left.png,
7,method,Rmethod.png,RightIncon
,,resting.png,
,,middle.png,
8,king,Rking.png,RightIrre
,,resting.png,
,,right.png,
3,abduction,Labduction.png,LeftIncon
,,resting.png,
,,xsp.png,
5,day,Lday.png,LeftNoG
,,resting.png,
,,middle.png,
8,part,Rpart.png,RightIrre
,,resting.png,
,,left.png,
7,country,Rcountry.png,RightIncon
,,resting.png,
,,xsp.png,
5,almond,Lalmond.png,LeftNoG
