tag,English,Icon,Spatial
,,resting.png,
,,xsp.png,
3,burglar,Rburglar.png,RightNoG
,,resting.png,
,,middle.png,
2,duck,Rduck.png,RightIrre
,,resting.png,
,,xsp.png,
3,memory,Rmemory.png,RightNoG
,,resting.png,
,,right.png,
5,opinion,Lopinion.png,LeftIncon
,,resting.png,
,,right.png,
5,family,Lfamily.png,LeftIncon
,,resting.png,
,,left.png,
4,esteem,Lesteem.png,LeftCong
,,resting.png,
,,middle.png,
6,car,Lcar.png,LeftIrre
,,resting.png,
,,middle.png,
2,number,Rnumber.png,RightIrre
,,resting.png,
,,xsp.png,
7,image,Limage.png,LeftNoG
,,resting.png,
,,middle.png,
6,service,Lservice.png,LeftIrre
,,resting.png,
,,left.png,
4,calorie,Lcalorie.png,LeftCong
,,resting.png,
,,left.png,
1,boxer,Rboxer.png,RightIncon
,,resting.png,
,,xsp.png,
7,country,Lcountry.png,LeftNoG
,,resting.png,
,,right.png,
8,king,Rking.png,RightCong
,,resting.png,
,,middle.png,
6,mushroom,Lmushroom.png,LeftIrre
,,resting.png,
,,left.png,
1,music,Rmusic.png,RightIncon
,,resting.png,
,,middle.png,
2,magician,Rmagician.png,RightIrre
,,resting.png,
,,xsp.png,
3,corner,Rcorner.png,RightNoG
,,resting.png,
,,right.png,
8,coffee,Rcoffee.png,RightCong
,,resting.png,
,,left.png,
4,voice,Lvoice.png,LeftCong
,,resting.png,
,,xsp.png,
7,girl,Lgirl.png,LeftNoG
,,resting.png,
,,right.png,
5,day,Lday.png,LeftIncon
,,resting.png,
,,left.png,
4,attention,Lattention.png,LeftCong
,,resting.png,
,,right.png,
5,clown,Lclown.png,LeftIncon
,,resting.png,
,,middle.png,
2,ant,Rant.png,RightIrre
,,resting.png,
,,right.png,
8,crucifix,Rcrucifix.png,RightCong
,,resting.png,
,,xsp.png,
3,money,Rmoney.png,RightNoG
,,resting.png,
,,right.png,
5,almond,Lalmond.png,LeftIncon
,,resting.png,
,,xsp.png,
7,olive,Lolive.png,LeftNoG
,,resting.png,
,,left.png,
1,hymn,Rhymn.png,RightIncon
,,resting.png,
,,left.png,
1,garlic,Rgarlic.png,RightIncon
,,resting.png,
,,left.png,
1,production,xsp.png,RightIncon
,,resting.png,
,,middle.png,
6,law,Llaw.png,LeftIrre
,,resting.png,
,,right.png,
8,peanut,Rpeanut.png,RightCong
,,resting.png,
,,right.png,
8,part,Rpart.png,RightCong
,,resting.png,
,,left.png,
4,city,Lcity.png,LeftCong
,,resting.png,
,,xsp.png,
3,abduction,Rabduction.png,RightNoG
,,resting.png,
,,middle.png,
6,school,Lschool.png,LeftIrre
,,resting.png,
,,xsp.png,
7,method,Lmethod.png,LeftNoG
,,resting.png,
,,middle.png,
2,mind,Rmind.png,RightIrre
